category_id,source_site,source_category_level_1,source_category_level_2,source_category_level_3,category_type,blacklist_reason,source_category_url
SS00034,ss.lv,Elektrotehnika,Datori un orgtehnika,Monitori,normal,,https://ss.lv/lv/electronics/computers/monitors/
SS00035,ss.lv,Elektrotehnika,Datori un orgtehnika,"Printeri, skeneri, tintes",normal,,https://ss.lv/lv/electronics/computers/printers/
SS00036,ss.lv,Elektrotehnika,Datori un orgtehnika,Komplektējošie datoriem,normal,,https://ss.lv/lv/electronics/computers/components/
SS00037,ss.lv,Elektrotehnika,Datori un orgtehnika,Komplektējošie piezīmjdatoriem,normal,,https://ss.lv/lv/electronics/computers/laptop-parts/
SS00038,ss.lv,Elektrotehnika,Datori un orgtehnika,Aksesuāri,normal,,https://ss.lv/lv/electronics/computers/accessories/
SS00039,ss.lv,Elektrotehnika,Datori un orgtehnika,"Kases aparāti, sistēmas, soft",normal,,https://ss.lv/lv/electronics/computers/pos-systems/
SS00040,ss.lv,Elektrotehnika,Datori un orgtehnika,Multimedia,normal,,https://ss.lv/lv/electronics/computers/multimedia/
SS00041,ss.lv,Elektrotehnika,Datori un orgtehnika,Spēles,normal,,https://ss.lv/lv/electronics/computers/games/
SS00042,ss.lv,Elektrotehnika,Datori un orgtehnika,Tīkla iekārtas,normal,,https://ss.lv/lv/electronics/computers/networking/
SS00043,ss.lv,Elektrotehnika,Datori un orgtehnika,Cits,normal,,https://ss.lv/lv/electronics/computers/other/
SS00044,ss.lv,Elektrotehnika,Datori un orgtehnika,Datoru remonts,blacklisted,repairs,https://ss.lv/lv/electronics/computers/repairs/
SS00045,ss.lv,Elektrotehnika,Datori un orgtehnika,"Programmatūra, iestatīšana, optimizācija",blacklisted,services,https://ss.lv/lv/electronics/computers/software-services/
SS00046,ss.lv,Elektrotehnika,Datori un orgtehnika,"Vieda māja, Arduino, Raspberry PI",normal,,https://ss.lv/lv/electronics/computers/smart-home/
SS00047,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Audio tehnika,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/audio/
SS00048,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Auto audio,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/car-audio/
SS00049,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Austiņas,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/headphones/
SS00050,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Diktofoni,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/recorders/
SS00051,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Jaudas pastiprinātāji,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/amplifiers/
SS00052,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Magnetolas,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/cassette-players/
SS00053,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Mikrofoni,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/microphones/
SS00054,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Mūzikas centri,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/music-centers/
SS00055,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT","Pults, mikserpultis",normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/mixers/
SS00056,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Resīveri,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/receivers/
SS00057,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Skaļruņi,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/speakers/
SS00058,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Skandas,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/soundbars/
SS00059,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT","CD, MD atskaņotāji",normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/cd-players/
SS00060,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",DJ-atskaņotāji,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/dj-players/
SS00061,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Mp3 atskaņotāji,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/mp3-players/
SS00062,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Vinila skaņuplates un atskaņotāji,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/turntables/
SS00063,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Apgaismes iekārtas,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/lighting/
SS00064,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Mūzikas instrumenti,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/instruments/
SS00065,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Dažādi,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/audio-other/
SS00066,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT","Video, DVD",normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/video-dvd/
SS00067,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Mājas kinozāles,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/home-cinema/
SS00068,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Videomagnetofoni,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/vcr/
SS00069,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Videokameras,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/camcorders/
SS00070,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Blu-ray atskaņotāji,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/bluray/
SS00071,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",DVD atskaņotāji,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/dvd-players/
SS00072,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT","DVD diski, mpeg, kasetes",normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/dvd-discs/
SS00073,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Televizori,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/tvs/
SS00074,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",TV konsoles,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/tv-stands/
SS00075,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Akumulatori videokamerām,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/camcorder-batteries/
SS00076,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT","Videoaukles, radioaukles",normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/baby-monitors/
SS00077,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Filmu noma,blacklisted,rentals,https://ss.lv/lv/electronics/audio-video-dvd-sat/movie-rental/
SS00078,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Videonovērošanas sistēmas,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/cctv/
SS00079,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Fotogrāfu pakalpojumi,blacklisted,services,https://ss.lv/lv/electronics/audio-video-dvd-sat/photo-services/
SS00080,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Video operatora pakalpojumi,blacklisted,services,https://ss.lv/lv/electronics/audio-video-dvd-sat/video-services/
SS00081,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Dažādi,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/video-other/
SS00082,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Satelīta televīzija,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/satellite-tv/
SS00083,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Aksesuāri,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/satellite-accessories/
SS00084,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Ierīkošana,blacklisted,services,https://ss.lv/lv/electronics/audio-video-dvd-sat/satellite-installation/
SS00085,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT","Satelītantenas, satelītšķīvji",normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/satellite-dishes/
SS00086,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Satelītu TV komplekti,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/satellite-kits/
SS00087,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT","Uztvērēji, dekoderi",normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/satellite-receivers/
SS00088,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Cits,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/satellite-other/
SS00089,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT","Aksesuāri, elektronikas remonts",normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/accessories/
SS00090,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Radio detaļas,blacklisted,non-item listings,https://ss.lv/lv/electronics/audio-video-dvd-sat/radio-parts/
SS00091,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Datoru remonts,blacklisted,repairs,https://ss.lv/lv/electronics/audio-video-dvd-sat/computer-repairs/
SS00092,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Elektronīkas remonts,blacklisted,repairs,https://ss.lv/lv/electronics/audio-video-dvd-sat/electronics-repairs/
SS00093,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Hidroelektrostacijas,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/hydro-stations/
SS00094,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Saules elektrostacijas,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/solar-stations/
SS00095,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Vēja ģeneratori,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/wind-generators/
SS00096,ss.lv,Elektrotehnika,"Audio, Video, DVD, SAT",Dažādi,normal,,https://ss.lv/lv/electronics/audio-video-dvd-sat/misc/
SS00097,ss.lv,Elektrotehnika,Televizori,Krāsainie (vienkāršie) televizori,normal,,https://ss.lv/lv/electronics/tvs/crt-color/
SS00098,ss.lv,Elektrotehnika,Televizori,LCD televizori,normal,,https://ss.lv/lv/electronics/tvs/lcd/
SS00099,ss.lv,Elektrotehnika,Televizori,LED televizori,normal,,https://ss.lv/lv/electronics/tvs/led/
SS00100,ss.lv,Elektrotehnika,Televizori,Melnbaltie televizori,normal,,https://ss.lv/lv/electronics/tvs/bw/
SS00101,ss.lv,Elektrotehnika,Televizori,Plazmas televizori,normal,,https://ss.lv/lv/electronics/tvs/plasma/
SS00102,ss.lv,Elektrotehnika,Televizori,Projektori,normal,,https://ss.lv/lv/electronics/tvs/projectors/
SS00103,ss.lv,Elektrotehnika,Televizori,Projektoru ekrāni,normal,,https://ss.lv/lv/electronics/tvs/projector-screens/
SS00104,ss.lv,Elektrotehnika,Televizori,Satelīta televīzija,normal,,https://ss.lv/lv/electronics/tvs/satellite/
SS00105,ss.lv,Elektrotehnika,Televizori,Kabeļi un aksesuāri,normal,,https://ss.lv/lv/electronics/tvs/cables/
SS00106,ss.lv,Elektrotehnika,Televizori,"Kronšteini, stiprinājumi",normal,,https://ss.lv/lv/electronics/tvs/mounts/
SS00107,ss.lv,Elektrotehnika,Televizori,Tālvadības pultis,normal,,https://ss.lv/lv/electronics/tvs/remotes/
SS00108,ss.lv,Elektrotehnika,Televizori,TV konsoles,normal,,https://ss.lv/lv/electronics/tvs/tv-stands/
SS00109,ss.lv,Elektrotehnika,Televizori,Dažādi,normal,,https://ss.lv/lv/electronics/tvs/other/
SS00110,ss.lv,Elektrotehnika,Foto un optika,Ciparu fotokameras,normal,,https://ss.lv/lv/electronics/photo-optics/digital-cameras/
SS00111,ss.lv,Elektrotehnika,Foto un optika,Spoguļkameras,normal,,https://ss.lv/lv/electronics/photo-optics/dslr/
SS00112,ss.lv,Elektrotehnika,Foto un optika,Filmu fotokameras,normal,,https://ss.lv/lv/electronics/photo-optics/film-cameras/
SS00113,ss.lv,Elektrotehnika,Foto un optika,Objektīvi,normal,,https://ss.lv/lv/electronics/photo-optics/lenses/
SS00114,ss.lv,Elektrotehnika,Foto un optika,Akumulatori,normal,,https://ss.lv/lv/electronics/photo-optics/batteries/
SS00115,ss.lv,Elektrotehnika,Foto un optika,"Akumulatori ""pirkstipa"" tipa",normal,,https://ss.lv/lv/electronics/photo-optics/aa-batteries/
SS00116,ss.lv,Elektrotehnika,Foto un optika,Lādētāji,normal,,https://ss.lv/lv/electronics/photo-optics/chargers/
SS00117,ss.lv,Elektrotehnika,Foto un optika,Aksesuāri,normal,,https://ss.lv/lv/electronics/photo-optics/accessories/
SS00118,ss.lv,Elektrotehnika,Foto un optika,Digitālo fotokameru atmiņas,normal,,https://ss.lv/lv/electronics/photo-optics/memory/
SS00119,ss.lv,Elektrotehnika,Foto un optika,Tālskati un teleskopi,normal,,https://ss.lv/lv/electronics/photo-optics/binoculars/
SS00120,ss.lv,Elektrotehnika,Foto un optika,Zibspuldze un apgaismojums,normal,,https://ss.lv/lv/electronics/photo-optics/flash/
SS00121,ss.lv,Elektrotehnika,Foto un optika,Somas,normal,,https://ss.lv/lv/electronics/photo-optics/bags/
SS00122,ss.lv,Elektrotehnika,Foto un optika,Fotopapīrs,normal,,https://ss.lv/lv/electronics/photo-optics/photo-paper/
SS00123,ss.lv,Elektrotehnika,Foto un optika,Statīvi un šasijas,normal,,https://ss.lv/lv/electronics/photo-optics/tripods/
SS00124,ss.lv,Elektrotehnika,Foto un optika,Dažādi,normal,,https://ss.lv/lv/electronics/photo-optics/other/
SS00125,ss.lv,Elektrotehnika,Foto un optika,Fotogrāfu pakalpojumi,blacklisted,services,https://ss.lv/lv/electronics/photo-optics/photo-services/
SS00126,ss.lv,Elektrotehnika,Foto un optika,Fototehnikas noma,blacklisted,rentals,https://ss.lv/lv/electronics/photo-optics/photo-rental/
SS00127,ss.lv,Elektrotehnika,Foto un optika,Video operatora pakalpojumi,blacklisted,services,https://ss.lv/lv/electronics/photo-optics/video-services/
SS00128,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Baterijas,normal,,https://ss.lv/lv/electronics/batteries/batteries/
SS00129,ss.lv,Elektrotehnika,"Baterijas, Akumulatori","Akumulatori ""pirkstipa"" tipa",normal,,https://ss.lv/lv/electronics/batteries/aa-batteries/
SS00130,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori automobiļiem,normal,,https://ss.lv/lv/electronics/batteries/car-batteries/
SS00131,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori darbarikiem,normal,,https://ss.lv/lv/electronics/batteries/power-tool-batteries/
SS00132,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori elektromobiļiem,normal,,https://ss.lv/lv/electronics/batteries/ev-batteries/
SS00133,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori foto un video tehnikai,normal,,https://ss.lv/lv/electronics/batteries/camera-batteries/
SS00134,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori piezīmjdatoriem,normal,,https://ss.lv/lv/electronics/batteries/laptop-batteries/
SS00135,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori telefoniem,normal,,https://ss.lv/lv/electronics/batteries/phone-batteries/
SS00136,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori velosipēdiem,normal,,https://ss.lv/lv/electronics/batteries/bike-batteries/
SS00137,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori citi,normal,,https://ss.lv/lv/electronics/batteries/other-batteries/
SS00138,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Lādētāji automobiļiem,normal,,https://ss.lv/lv/electronics/batteries/car-chargers/
SS00139,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Lādētāji darbarikiem,normal,,https://ss.lv/lv/electronics/batteries/power-tool-chargers/
SS00140,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Lādētāji foto un video tehnikai,normal,,https://ss.lv/lv/electronics/batteries/camera-chargers/
SS00141,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Lādētāji piezīmjdatoriem un plaukstdatoriem,normal,,https://ss.lv/lv/electronics/batteries/laptop-chargers/
SS00142,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Lādētāji telefoniem,normal,,https://ss.lv/lv/electronics/batteries/phone-chargers/
SS00143,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Lādētāji citi,normal,,https://ss.lv/lv/electronics/batteries/other-chargers/
SS00144,ss.lv,Elektrotehnika,"Baterijas, Akumulatori","Sprieguma pārveidotāji, invertori",normal,,https://ss.lv/lv/electronics/batteries/inverters/
SS00145,ss.lv,Elektrotehnika,"Baterijas, Akumulatori",Cits,normal,,https://ss.lv/lv/electronics/batteries/other/
SS00146,ss.lv,Elektrotehnika,Virtuves tehnika,Cepešķrāsnis,normal,,https://ss.lv/lv/electronics/home-appliances/ovens/
SS00147,ss.lv,Elektrotehnika,Virtuves tehnika,Elektriskās plītis,normal,,https://ss.lv/lv/electronics/home-appliances/electric-stoves/
SS00148,ss.lv,Elektrotehnika,Virtuves tehnika,Gāzes plītis,normal,,https://ss.lv/lv/electronics/home-appliances/gas-stoves/
SS00149,ss.lv,Elektrotehnika,Virtuves tehnika,Ledusskapji,normal,,https://ss.lv/lv/electronics/home-appliances/refrigerators/
SS00150,ss.lv,Elektrotehnika,Virtuves tehnika,Plīts virsmas,normal,,https://ss.lv/lv/electronics/home-appliances/cooktops/
SS00151,ss.lv,Elektrotehnika,Virtuves tehnika,Saldētavas,normal,,https://ss.lv/lv/electronics/home-appliances/freezers/
SS00152,ss.lv,Elektrotehnika,Virtuves tehnika,Trauku mazgājamās mašīnas,normal,,https://ss.lv/lv/electronics/home-appliances/dishwashers/
SS00153,ss.lv,Elektrotehnika,Virtuves tehnika,Tvaika nosūcēji,normal,,https://ss.lv/lv/electronics/home-appliances/range-hoods/
SS00154,ss.lv,Elektrotehnika,Virtuves tehnika,Vīna skapji,normal,,https://ss.lv/lv/electronics/home-appliances/wine-coolers/
SS00155,ss.lv,Elektrotehnika,Virtuves tehnika,Blenderi,normal,,https://ss.lv/lv/electronics/home-appliances/blenders/
SS00156,ss.lv,Elektrotehnika,Virtuves tehnika,Daudzfunkcionālie katli,normal,,https://ss.lv/lv/electronics/home-appliances/multi-cookers/
SS00157,ss.lv,Elektrotehnika,Virtuves tehnika,Frī vārāmie katli,normal,,https://ss.lv/lv/electronics/home-appliances/deep-fryers/
SS00158,ss.lv,Elektrotehnika,Virtuves tehnika,Gaļas mašīnas,normal,,https://ss.lv/lv/electronics/home-appliances/meat-grinders/
SS00159,ss.lv,Elektrotehnika,Virtuves tehnika,Grilli,normal,,https://ss.lv/lv/electronics/home-appliances/grills/
SS00160,ss.lv,Elektrotehnika,Virtuves tehnika,Kafijas automāti,normal,,https://ss.lv/lv/electronics/home-appliances/coffee-makers/
SS00161,ss.lv,Elektrotehnika,Virtuves tehnika,Kafijas mājiņas dzirnaviņas,normal,,https://ss.lv/lv/electronics/home-appliances/coffee-grinders/
SS00162,ss.lv,Elektrotehnika,Virtuves tehnika,Ledus ģeneratori,normal,,https://ss.lv/lv/electronics/home-appliances/ice-makers/
SS00163,ss.lv,Elektrotehnika,Virtuves tehnika,Maizes cepšanas iekārtas,normal,,https://ss.lv/lv/electronics/home-appliances/bread-makers/
SS00164,ss.lv,Elektrotehnika,Virtuves tehnika,Mikroviļņu krāsnis,normal,,https://ss.lv/lv/electronics/home-appliances/microwaves/
SS00165,ss.lv,Elektrotehnika,Virtuves tehnika,Mikseri,normal,,https://ss.lv/lv/electronics/home-appliances/mixers/
SS00166,ss.lv,Elektrotehnika,Virtuves tehnika,Produktu griešanas iekārtas,normal,,https://ss.lv/lv/electronics/home-appliances/food-processors/
SS00167,ss.lv,Elektrotehnika,Virtuves tehnika,Suļu spiedes,normal,,https://ss.lv/lv/electronics/home-appliances/juicers/
SS00168,ss.lv,Elektrotehnika,Virtuves tehnika,Tējkannas,normal,,https://ss.lv/lv/electronics/home-appliances/kettles/
SS00169,ss.lv,Elektrotehnika,Virtuves tehnika,Tosteri,normal,,https://ss.lv/lv/electronics/home-appliances/toasters/
SS00170,ss.lv,Elektrotehnika,Virtuves tehnika,Trauku un galda piederumi,normal,,https://ss.lv/lv/electronics/home-appliances/tableware/
SS00171,ss.lv,Elektrotehnika,Virtuves tehnika,Tvaika katli,normal,,https://ss.lv/lv/electronics/home-appliances/steamers/
SS00172,ss.lv,Elektrotehnika,Virtuves tehnika,Virtuves kombaini,normal,,https://ss.lv/lv/electronics/home-appliances/food-processors-combo/
SS00173,ss.lv,Elektrotehnika,Virtuves tehnika,Virtuves svari,normal,,https://ss.lv/lv/electronics/home-appliances/kitchen-scales/
SS00174,ss.lv,Elektrotehnika,Virtuves tehnika,Cits,normal,,https://ss.lv/lv/electronics/home-appliances/kitchen-other/
SS00175,ss.lv,Elektrotehnika,Tīrība un šūšana,Elektriskās slotas,normal,,https://ss.lv/lv/electronics/home-appliances/vacuum-cleaners/
SS00176,ss.lv,Elektrotehnika,Tīrība un šūšana,Gludekļi,normal,,https://ss.lv/lv/electronics/home-appliances/irons/
SS00177,ss.lv,Elektrotehnika,Tīrība un šūšana,Veļas mašīnas,normal,,https://ss.lv/lv/electronics/home-appliances/washing-machines/
SS00178,ss.lv,Elektrotehnika,Tīrība un šūšana,Veļas žāvētāji,normal,,https://ss.lv/lv/electronics/home-appliances/dryers/
SS00179,ss.lv,Elektrotehnika,Tīrība un šūšana,Putekļusūcēji,normal,,https://ss.lv/lv/electronics/home-appliances/vacuum-cleaners-full/
SS00180,ss.lv,Elektrotehnika,Tīrība un šūšana,Šujmašīnas,normal,,https://ss.lv/lv/electronics/home-appliances/sewing-machines/
SS00181,ss.lv,Elektrotehnika,Tīrība un šūšana,Overloki,normal,,https://ss.lv/lv/electronics/home-appliances/overlock/
SS00182,ss.lv,Elektrotehnika,Tīrība un šūšana,"Fēni, matu ieveidotāji, matu taisnotāji",normal,,https://ss.lv/lv/electronics/home-appliances/hair-dryers/
SS00183,ss.lv,Elektrotehnika,Tīrība un šūšana,Elektriskuvekļi,normal,,https://ss.lv/lv/electronics/home-appliances/electric-shavers/
SS00184,ss.lv,Elektrotehnika,Tīrība un šūšana,Epilatori,normal,,https://ss.lv/lv/electronics/home-appliances/epilators/
SS00185,ss.lv,Elektrotehnika,Tīrība un šūšana,Cits,normal,,https://ss.lv/lv/electronics/home-appliances/cleaning-other/
SS00186,ss.lv,Elektrotehnika,Skaistums un veselība,Pulksteņi,normal,,https://ss.lv/lv/electronics/home-appliances/watches/
SS00187,ss.lv,Elektrotehnika,Skaistums un veselība,Cits,normal,,https://ss.lv/lv/electronics/home-appliances/beauty-other/
